rank,y_pred,accession,protein_name,organism,empirical_disposition,empirical_reason,route,qualified,confidence,decision,uniprot_active_sites,hxxxd_count,hxxxd_motifs,triad_count,triads,pingpong_docking_pass,accoa_mode,accoa_score,cys_to_acetyl_c_A,cys_c_o_angle_deg,pap_to_catalytic_site_A,pap_pingpong_score,sequential_strict_pass,pap_n_to_acetyl_c_A,sequential_angle_deg,sequential_score,structure_file,docking_folder,final_status
127,0.996081889,Q2GH92,Octanoyltransferase 2.3.1.181,Ehrlichia chaffeensis (strain ATCC CRL-10679 / Arkansas),exclude_long_protein_or_polypeptide,原始受体为L-lysyl-[protein]，供体为octanoyl-[ACP],,False,排除,原始受体为L-lysyl-[protein]，供体为octanoyl-[ACP],Domain:34-214:BPL/LPL catalytic || Active site:176-176:Acyl-thioester intermediate || Binding site:73-80: || Binding site:145-147: || Binding site:158-160: || Site:142-142:Lowers pKa of active site Cys,0,,0,,False,,,,,,,False,,,,,,排除/未通过
131,0.99603492,P18440,Arylamine N-acetyltransferase 1 2.3.1.5,Homo sapiens,carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,乒乓,True,A-：天然反应直接相关＋完整三联体；AcCoA采样未命中,芳胺N-乙酰转移酶天然反应与目标最接近，且UniProt标注催化半胱氨酸、结构三联体完整；对氨基苯酚可进入催化区，但本轮AcCoA构象未达到几何阈值，按对接假阴性/待复核记录。,Active site:68-68:Acyl-thioester intermediate || Active site:107-107: || Active site:122-122: || Binding site:103-103: || Binding site:104-104: || Binding site:106-107: || Binding site:208-208: || Binding site:214-214: || Modified residue:1-1:N-acetylmethionine,0,[],1,"[{""cys"": ""CYS68:SG"", ""his"": ""HIS107:ND1"", ""cys_his_distance"": 3.593, ""acid"": ""ASP122:OD2"", ""his_acid_distance"": 4.743, ""cys_accessibility"": 0.0292, ""cys_coord"": [5.337, 5.778, 5.532]}]",False,,,,,3.492,-5.6,False,3.702,74.43,-2.6,structure_docking/07_mechanism_screen\structures\rank_0131_P18440_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0131_P18440,最终10个
132,0.996024311,Q11DS0,Homoserine O-acetyltransferase HAT 2.3.1.31,Chelativorans sp. (strain BNC1),carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,,False,未通过结构/机制门槛,未同时取得可接受的天然底物、催化基序/三联体和反应几何证据；不计入最终候选。,Active site:142-142:Acyl-thioester intermediate || Active site:235-235:Proton acceptor || Active site:237-237: || Binding site:163-163: || Binding site:192-192: || Binding site:249-249: || Site:111-111:Important for acyl-CoA specificity || Site:192-192:Important for substrate specificity,1,"[{""sequence_start"": 235, ""motif"": ""HIEYD""}]",2,"[{""cys"": ""CYS142:SG"", ""his"": ""HIS235:ND1"", ""cys_his_distance"": 4.526, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 2.819, ""cys_accessibility"": 0.1042, ""cys_coord"": [6.196, 2.823, -2.929]}, {""cys"": ""CYS142:SG"", ""his"": ""HIS235:NE2"", ""cys_his_distance"": 3.235, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 4.985, ""cys_accessibility"": 0.1042, ""cys_coord"": [6.196, 2.823, -2.929]}]",False,,,,,3.865,-4.2,False,5.348,98.03,-3.6,structure_docking/07_mechanism_screen\structures\rank_0132_Q11DS0_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0132_Q11DS0,排除/未通过
133,0.996015489,C5BF07,Homoserine O-succinyltransferase HST 2.3.1.46,Edwardsiella ictaluri (strain 93-146),carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,乒乓,True,B：小分子天然底物＋酰基半胱氨酸＋对接命中,天然受体为小分子；UniProt标注酰基-硫酯中间体，结构中存在Cys-His-Asp/Glu样口袋，AcCoA和对氨基苯酚定点对接均达到宽松反应几何。,Active site:142-142:Acyl-thioester intermediate || Active site:235-235:Proton acceptor || Active site:237-237: || Binding site:163-163: || Binding site:192-192: || Binding site:249-249: || Site:111-111:Important for acyl-CoA specificity || Site:192-192:Important for substrate specificity,1,"[{""sequence_start"": 235, ""motif"": ""HPEYD""}]",2,"[{""cys"": ""CYS142:SG"", ""his"": ""HIS235:ND1"", ""cys_his_distance"": 4.645, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 2.761, ""cys_accessibility"": 0.0458, ""cys_coord"": [7.601, 2.007, -3.649]}, {""cys"": ""CYS142:SG"", ""his"": ""HIS235:NE2"", ""cys_his_distance"": 3.2, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 4.951, ""cys_accessibility"": 0.0458, ""cys_coord"": [7.601, 2.007, -3.649]}]",True,14,-5.3,4.742,127.55,3.602,-3.8,False,4.23,167.33,0.1,structure_docking/07_mechanism_screen\structures\rank_0133_C5BF07_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0133_C5BF07,最终10个
135,0.996000469,A5IYF1,Glycerol-3-phosphate acyltransferase,Mycoplasmopsis agalactiae (strain NCTC 10123 / CIP 59.7 / PG2),exclude_unrelated_membrane_or_lipid_reaction,使用acyl phosphate的甘油-3-磷酸酰基转移酶；非AcCoA乙酰转移,,False,排除,使用acyl phosphate的甘油-3-磷酸酰基转移酶；非AcCoA乙酰转移,Transmembrane:3-23:Helical || Transmembrane:63-83:Helical || Transmembrane:97-117:Helical || Transmembrane:131-151:Helical || Transmembrane:156-176:Helical || Transmembrane:198-218:Helical,0,,0,,False,,,,,,,False,,,,,,排除/未通过
138,0.995980322,A8H6B7,Homoserine O-succinyltransferase HST 2.3.1.46,Shewanella pealeana (strain ATCC 700345 / ANG-SQ1),defer_structure_mapping_not_exact,"UniProt结构映射并非原序列100%一致（identity=91.6%, coverage=99.359%）",,False,排除,"UniProt结构映射并非原序列100%一致（identity=91.6%, coverage=99.359%）",Active site:142-142:Acyl-thioester intermediate || Active site:235-235:Proton acceptor || Active site:237-237: || Binding site:163-163: || Binding site:192-192: || Binding site:249-249: || Site:111-111:Important for acyl-CoA specificity || Site:192-192:Important for substrate specificity,0,,0,,False,,,,,,,False,,,,,,排除/未通过
141,0.995960057,P00485,Chloramphenicol acetyltransferase CAT 2.3.1.28,Staphylococcus aureus,carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,,False,未通过结构/机制门槛,未同时取得可接受的天然底物、催化基序/三联体和反应几何证据；不计入最终候选。,Active site:189-189:Proton acceptor,1,"[{""sequence_start"": 189, ""motif"": ""HSVCD""}]",0,[],False,,,,,3.024,-2.3,False,3.704,55.16,-2.7,structure_docking/07_mechanism_screen\structures\rank_0141_P00485_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0141_P00485,排除/未通过
142,0.995943606,Q3K5S2,Glycerol-3-phosphate acyltransferase,Pseudomonas fluorescens (strain Pf0-1),exclude_unrelated_membrane_or_lipid_reaction,使用acyl phosphate的甘油-3-磷酸酰基转移酶；非AcCoA乙酰转移,,False,排除,使用acyl phosphate的甘油-3-磷酸酰基转移酶；非AcCoA乙酰转移,Transmembrane:1-21:Helical || Transmembrane:51-71:Helical || Transmembrane:77-97:Helical || Transmembrane:111-131:Helical || Transmembrane:151-171:Helical,0,,0,,False,,,,,,,False,,,,,,排除/未通过
143,0.995929301,Q7N3D3,Lipid A acyltransferase PagP 2.3.1.251,Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01),exclude_unrelated_membrane_or_lipid_reaction,外膜PagP脂质A长链酰基转移酶；脂质底物/膜口袋与芳胺乙酰化不相符,,False,排除,外膜PagP脂质A长链酰基转移酶；脂质底物/膜口袋与芳胺乙酰化不相符,Active site:79-79: || Active site:122-122: || Active site:123-123: || Site:88-88:Role in lipopolysaccharide recognition || Site:193-193:Role in the phospholipid gating,0,,0,,False,,,,,,,False,,,,,,排除/未通过
145,0.995925963,B9JUF7,Homoserine O-acetyltransferase HAT 2.3.1.31,Allorhizobium ampelinum (strain ATCC BAA-846 / DSM 112012 / S4),carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,乒乓,True,B：小分子天然底物＋酰基半胱氨酸＋对接命中,天然受体为小分子；UniProt标注酰基-硫酯中间体，结构中存在Cys-His-Asp/Glu样口袋，AcCoA和对氨基苯酚定点对接均达到宽松反应几何。,Active site:142-142:Acyl-thioester intermediate || Active site:235-235:Proton acceptor || Active site:237-237: || Binding site:163-163: || Binding site:192-192: || Binding site:249-249: || Site:111-111:Important for acyl-CoA specificity || Site:192-192:Important for substrate specificity,2,"[{""sequence_start"": 97, ""motif"": ""HRKFD""}, {""sequence_start"": 235, ""motif"": ""HVEYD""}]",2,"[{""cys"": ""CYS142:SG"", ""his"": ""HIS235:ND1"", ""cys_his_distance"": 4.641, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 2.77, ""cys_accessibility"": 0.0958, ""cys_coord"": [7.449, 2.154, -3.291]}, {""cys"": ""CYS142:SG"", ""his"": ""HIS235:NE2"", ""cys_his_distance"": 3.262, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 4.942, ""cys_accessibility"": 0.0958, ""cys_coord"": [7.449, 2.154, -3.291]}]",True,19,-5.8,4.03,87.24,3.719,-3.7,False,5.318,95.99,-2.8,structure_docking/07_mechanism_screen\structures\rank_0145_B9JUF7_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0145_B9JUF7,最终10个
146,0.995911777,Q9NPG8,Palmitoyltransferase ZDHHC4 2.3.1.225,Homo sapiens,exclude_long_protein_or_polypeptide,蛋白半胱氨酸棕榈酰化酶；原始受体为L-cysteinyl-[protein],,False,排除,蛋白半胱氨酸棕榈酰化酶；原始受体为L-cysteinyl-[protein],Transmembrane:3-23:Helical || Transmembrane:68-88:Helical || Transmembrane:100-120:Helical || Transmembrane:193-213:Helical || Transmembrane:256-276:Helical || Domain:149-199:DHHC || Active site:179-179:S-palmitoyl cysteine intermediate,0,,0,,False,,,,,,,False,,,,,,排除/未通过
147,0.9959113,Q0BX37,Homoserine O-acetyltransferase HAT 2.3.1.31,Hyphomonas neptunium (strain ATCC 15444),carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,乒乓,True,B：小分子天然底物＋酰基半胱氨酸＋对接命中,天然受体为小分子；UniProt标注酰基-硫酯中间体，结构中存在Cys-His-Asp/Glu样口袋，AcCoA和对氨基苯酚定点对接均达到宽松反应几何。,Active site:142-142:Acyl-thioester intermediate || Active site:235-235:Proton acceptor || Active site:237-237: || Binding site:163-163: || Binding site:192-192: || Binding site:249-249: || Site:111-111:Important for acyl-CoA specificity || Site:192-192:Important for substrate specificity,2,"[{""sequence_start"": 170, ""motif"": ""HRNLD""}, {""sequence_start"": 235, ""motif"": ""HVEYD""}]",2,"[{""cys"": ""CYS142:SG"", ""his"": ""HIS235:ND1"", ""cys_his_distance"": 4.504, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 2.823, ""cys_accessibility"": 0.0333, ""cys_coord"": [4.712, 3.578, -5.729]}, {""cys"": ""CYS142:SG"", ""his"": ""HIS235:NE2"", ""cys_his_distance"": 3.198, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 4.994, ""cys_accessibility"": 0.0333, ""cys_coord"": [4.712, 3.578, -5.729]}]",True,18,-4.7,4.26,95.38,3.717,-4.6,True,3.397,60.62,-1.3,structure_docking/07_mechanism_screen\structures\rank_0147_Q0BX37_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0147_Q0BX37,最终10个
151,0.995882213,A1BAL9,Homoserine O-acetyltransferase HAT 2.3.1.31,Paracoccus denitrificans (strain Pd 1222),carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,乒乓,True,B：小分子天然底物＋酰基半胱氨酸＋对接命中,天然受体为小分子；UniProt标注酰基-硫酯中间体，结构中存在Cys-His-Asp/Glu样口袋，AcCoA和对氨基苯酚定点对接均达到宽松反应几何。,Active site:144-144:Acyl-thioester intermediate || Active site:237-237:Proton acceptor || Active site:239-239: || Binding site:165-165: || Binding site:194-194: || Binding site:251-251: || Site:113-113:Important for acyl-CoA specificity || Site:194-194:Important for substrate specificity,1,"[{""sequence_start"": 237, ""motif"": ""HFEYD""}]",2,"[{""cys"": ""CYS144:SG"", ""his"": ""HIS237:ND1"", ""cys_his_distance"": 4.514, ""acid"": ""GLU239:OE1"", ""his_acid_distance"": 2.791, ""cys_accessibility"": 0.1125, ""cys_coord"": [5.458, 4.655, -3.536]}, {""cys"": ""CYS144:SG"", ""his"": ""HIS237:NE2"", ""cys_his_distance"": 3.418, ""acid"": ""GLU239:OE1"", ""his_acid_distance"": 4.98, ""cys_accessibility"": 0.1125, ""cys_coord"": [5.458, 4.655, -3.536]}]",True,2,-6.9,4.597,96.91,3.696,-4.1,False,4.158,128.08,-3.7,structure_docking/07_mechanism_screen\structures\rank_0151_A1BAL9_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0151_A1BAL9,合格备选
152,0.995876968,Q2NQZ8,Probable acyltransferase 2.3.1.-,Sodalis glossinidius (strain morsitans),carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,,False,未通过结构/机制门槛,未同时取得可接受的天然底物、催化基序/三联体和反应几何证据；不计入最终候选。,Active site:142-142:Acyl-thioester intermediate || Active site:235-235:Proton acceptor || Active site:237-237: || Binding site:163-163: || Binding site:192-192: || Binding site:249-249: || Site:192-192:Important for substrate specificity,3,"[{""sequence_start"": 97, ""motif"": ""HDNFD""}, {""sequence_start"": 129, ""motif"": ""HWARD""}, {""sequence_start"": 235, ""motif"": ""HPEYD""}]",2,"[{""cys"": ""CYS142:SG"", ""his"": ""HIS235:ND1"", ""cys_his_distance"": 4.658, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 2.759, ""cys_accessibility"": 0.0625, ""cys_coord"": [8.186, 0.711, -3.532]}, {""cys"": ""CYS142:SG"", ""his"": ""HIS235:NE2"", ""cys_his_distance"": 3.195, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 4.934, ""cys_accessibility"": 0.0625, ""cys_coord"": [8.186, 0.711, -3.532]}]",False,,,,,3.751,-4.1,False,4.19,110.45,-3.4,structure_docking/07_mechanism_screen\structures\rank_0152_Q2NQZ8_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0152_Q2NQZ8,排除/未通过
153,0.99587518,P13914,"Arylamine N-acetyltransferase, pineal gland isozyme NAT-3 Arylamine acetylase 2.3.1.5",Gallus gallus,carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,乒乓,True,A：天然反应直接相关＋完整三联体＋对接命中,芳胺N-乙酰转移酶；UniProt标注酰基-硫酯中间体，结构中有完整Cys-His-Asp/Glu口袋，AcCoA与对氨基苯酚均命中催化区。,Active site:68-68:Acyl-thioester intermediate || Active site:107-107: || Active site:122-122:,0,[],1,"[{""cys"": ""CYS68:SG"", ""his"": ""HIS107:ND1"", ""cys_his_distance"": 3.483, ""acid"": ""ASP122:OD2"", ""his_acid_distance"": 4.783, ""cys_accessibility"": 0.0333, ""cys_coord"": [-1.487, 8.613, -3.338]}]",True,19,-4.1,4.998,87.88,3.683,-4.9,False,3.434,133.37,7.1,structure_docking/07_mechanism_screen\structures\rank_0153_P13914_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0153_P13914,最终10个
154,0.995866597,O31633,Probable N-acetyltransferase YjcK 2.3.1.-,Bacillus subtilis (strain 168),exclude_long_protein_or_polypeptide,原始受体为蛋白质N端氨基酸,,False,排除,原始受体为蛋白质N端氨基酸,Domain:7-172:N-acetyltransferase,0,,0,,False,,,,,,,False,,,,,,排除/未通过
156,0.995854914,A4J246,Octanoyltransferase 2.3.1.181,Desulforamulus reducens (strain ATCC BAA-1160 / DSM 100696 / MI-1),exclude_long_protein_or_polypeptide,原始受体为L-lysyl-[protein]，供体为octanoyl-[ACP],,False,排除,原始受体为L-lysyl-[protein]，供体为octanoyl-[ACP],Domain:30-213:BPL/LPL catalytic || Active site:174-174:Acyl-thioester intermediate || Binding site:75-82: || Binding site:143-145: || Binding site:156-158: || Site:140-140:Lowers pKa of active site Cys,0,,0,,False,,,,,,,False,,,,,,排除/未通过
157,0.995850623,Q04474,RTX-III toxin-activating lysine-acyltransferase ApxIIC 2.3.1.-,Actinobacillus pleuropneumoniae,exclude_long_protein_or_polypeptide,RTX毒素蛋白赖氨酸酰化；原始受体为L-lysyl-[protein],,False,排除,RTX毒素蛋白赖氨酸酰化；原始受体为L-lysyl-[protein],Active site:29-29: || Active site:98-98:,0,,0,,False,,,,,,,False,,,,,,排除/未通过
