rank,y_pred,accession,protein_name,organism,pair_positive_4aminophenol,metaa,metas,metas_highest_kept,forced_exclusion_reason,transmembrane_count,hxxxd_count,cys_triad_count,ser_triad_count,annotated_acyl_cys_count,structural_evidence,site_type,docking_status,accoa_distance_A,accoa_angle_deg,accoa_score,accoa_geometry_source,pap_to_site_A,pap_score,sequential_distance_A,sequential_angle_deg,sequential_score,confidence,final_status,decision,structure_file,docking_folder,functional_annotation_for_postcheck,gene_primary,gene_synonyms,ordered_locus_names,orf_names,gene_key,is_metA_gene,matches_previous_top10_gene,previous_top10_gene_match,gene_highest_rank,gene_highest_accession,duplicate_gene_lower_rank,new_gene_rule_exclusion,new_gene_rule_reason
127,0.996081889,Q2GH92,Octanoyltransferase 2.3.1.181,Ehrlichia chaffeensis (strain ATCC CRL-10679 / Arkansas),False,False,False,False,,0,0,0,0,1,UniProt标注酰基硫酯Cys；有注释催化/结合位点,annotated_acyl_cys,completed,8.35,97.83,-7.0,结合位点中心补采样,3.621,-3.9,3.878,83.24,-3.1,B+,最终10个,标注酰基Cys；结合位点中心补采样改善AcCoA取向，pAP靠近Cys,structure_docking/09_corrected_screen\structures\rank_0127_Q2GH92_AFDB.pdb,structure_docking/09_corrected_screen\docking\rank_0127_Q2GH92,FUNCTION | Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate || CATALYTIC ACTIVITY | octanoyl-[ACP] + L-lysyl-[protein] = N(6)-octanoyl-L-lysyl-[protein] + holo-[ACP] + H(+) Rhea RHEA:17665 Rhea RHEA-COMP:9636 Rhea RHEA-COMP:9685 Rhea RHEA-COMP:9752 Rhea RHEA-COMP:9928 ChEBI CHEBI:15378 ChEBI CHEBI:29969 ChEBI CHEBI:64479 ChEBI CHEBI:78463 ChEBI CHEBI:78809 2.3.1.181 ECO:0000255 HAMAP-Rule MF_00013 || PATHWAY | Protein modification; protein lipoylation via endogenous pathway; protein N(6)-(lipoyl)lysine from octanoyl-[acyl-carrier-protein]: step 1/2 || SUBCELLULAR LOCATION | Cytoplasm || SIMILARITY | Belongs to the LipB family,lipB,,ECH_0371,,lipb,False,False,,108,Q1RKI1,True,True,同基因lipB仅保留最高位Rank 108
131,0.99603492,P18440,Arylamine N-acetyltransferase 1 2.3.1.5,Homo sapiens,True,False,False,False,mds_pAAP.csv中4-aminophenol配对Label=1,,,,,0,,,,,,,,,,,,,排除,强制排除,mds_pAAP.csv中4-aminophenol配对Label=1,,,FUNCTION | Participates in the detoxification of a plethora of hydrazine and arylamine drugs. Catalyzes the N- or O-acetylation of various arylamine and heterocyclic amine substrates and is able to bioactivate several known carcinogens || CATALYTIC ACTIVITY | an arylamine + acetyl-CoA = an N-acetylarylamine + CoA Rhea RHEA:16613 ChEBI CHEBI:13790 ChEBI CHEBI:50471 ChEBI CHEBI:57287 ChEBI CHEBI:57288 2.3.1.5 || SUBCELLULAR LOCATION | Cytoplasm || SIMILARITY | Belongs to the arylamine N-acetyltransferase family,NAT1,AAC1,,,nat1,False,False,,131,P18440,False,False,
132,0.996024311,Q11DS0,Homoserine O-acetyltransferase HAT 2.3.1.31,Chelativorans sp. (strain BNC1),True,True,False,False,mds_pAAP.csv中4-aminophenol配对Label=1；MetAA全部排除,,,,,0,,,,,,,,,,,,,排除,强制排除,mds_pAAP.csv中4-aminophenol配对Label=1；MetAA全部排除,,,"FUNCTION | Transfers an acetyl group from acetyl-CoA to L-homoserine, forming acetyl-L-homoserine || CATALYTIC ACTIVITY | L-homoserine + acetyl-CoA = O-acetyl-L-homoserine + CoA Rhea RHEA:13701 ChEBI CHEBI:57287 ChEBI CHEBI:57288 ChEBI CHEBI:57476 ChEBI CHEBI:57716 2.3.1.31 ECO:0000255 HAMAP-Rule MF_00295 || PATHWAY | Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; O-acetyl-L-homoserine from L-homoserine: step 1/1 || SUBCELLULAR LOCATION | Cytoplasm || SIMILARITY | Belongs to the MetA family",metAA,,Meso_3083,,metaa,False,True,metaa,106,Q7CWE8,True,True,前100位实验10个已出现基因:metaa；同基因metAA仅保留最高位Rank 106
133,0.996015489,C5BF07,Homoserine O-succinyltransferase HST 2.3.1.46,Edwardsiella ictaluri (strain 93-146),False,False,True,False,MetAS仅保留最高分一个,,,,,0,,,,,,,,,,,,,排除,强制排除,MetAS仅保留最高分一个,,,"FUNCTION | Transfers a succinyl group from succinyl-CoA to L-homoserine, forming succinyl-L-homoserine || CATALYTIC ACTIVITY | L-homoserine + succinyl-CoA = O-succinyl-L-homoserine + CoA Rhea RHEA:22008 ChEBI CHEBI:57287 ChEBI CHEBI:57292 ChEBI CHEBI:57476 ChEBI CHEBI:57661 2.3.1.46 ECO:0000255 HAMAP-Rule MF_00295 || PATHWAY | Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; O-succinyl-L-homoserine from L-homoserine: step 1/1 || SUBCELLULAR LOCATION | Cytoplasm || SIMILARITY | Belongs to the MetA family",metAS,,NT01EI_3543,,metas,False,False,,112,A8GKF8,True,True,同基因metAS仅保留最高位Rank 112
135,0.996000469,A5IYF1,Glycerol-3-phosphate acyltransferase,Mycoplasmopsis agalactiae (strain NCTC 10123 / CIP 59.7 / PG2),False,False,False,False,,6,0,2,0,0,空间Cys-His-Asp/Glu样口袋；多跨膜(6),,structural_exclude_multipass_membrane,,,,,,,,,,排除,明显结构排除,结构含6段跨膜螺旋，缺少适合AcCoA和pAP共同进入的可溶性反应口袋。,structure_docking/09_corrected_screen\structures\rank_0135_A5IYF1_AFDB.pdb,,"FUNCTION | Catalyzes the transfer of an acyl group from acyl-phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP || CATALYTIC ACTIVITY | an acyl phosphate + sn-glycerol 3-phosphate = a 1-acyl-sn-glycero-3-phosphate + phosphate Rhea RHEA:34075 ChEBI CHEBI:43474 ChEBI CHEBI:57597 ChEBI CHEBI:57970 ChEBI CHEBI:59918 2.3.1.275 ECO:0000255 HAMAP-Rule MF_01043 || PATHWAY | Lipid metabolism; phospholipid metabolism || SUBUNIT | Probably interacts with PlsX || SUBCELLULAR LOCATION | Cell membrane Multi-pass membrane protein || SIMILARITY | Belongs to the PlsY family",plsY,,MAG3620,,plsy,False,False,,135,A5IYF1,False,False,
138,0.995980322,A8H6B7,Homoserine O-succinyltransferase HST 2.3.1.46,Shewanella pealeana (strain ATCC 700345 / ANG-SQ1),False,False,True,False,MetAS仅保留最高分一个,,,,,0,,,,,,,,,,,,,排除,强制排除,MetAS仅保留最高分一个,,,"FUNCTION | Transfers a succinyl group from succinyl-CoA to L-homoserine, forming succinyl-L-homoserine || CATALYTIC ACTIVITY | L-homoserine + succinyl-CoA = O-succinyl-L-homoserine + CoA Rhea RHEA:22008 ChEBI CHEBI:57287 ChEBI CHEBI:57292 ChEBI CHEBI:57476 ChEBI CHEBI:57661 2.3.1.46 ECO:0000255 HAMAP-Rule MF_00295 || PATHWAY | Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; O-succinyl-L-homoserine from L-homoserine: step 1/1 || SUBCELLULAR LOCATION | Cytoplasm || SIMILARITY | Belongs to the MetA family",metAS,,Spea_2784,,metas,False,False,,112,A8GKF8,True,True,同基因metAS仅保留最高位Rank 112
141,0.995960057,P00485,Chloramphenicol acetyltransferase CAT 2.3.1.28,Staphylococcus aureus,False,False,False,False,,0,1,1,0,0,空间Cys-His-Asp/Glu样口袋；HXXXD基序；有注释催化/结合位点,hxxxd_site,reused_previous,8.696,93.79,-3.5,主搜索,3.024,-2.3,3.704,55.16,-2.7,B,最终10个,HXXXD/CAT型顺序口袋；双底物宽松几何可行，结合能较弱,structure_docking/09_corrected_screen\structures\rank_0141_P00485_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0141_P00485,FUNCTION | This enzyme is an effector of chloramphenicol resistance in bacteria || CATALYTIC ACTIVITY | chloramphenicol + acetyl-CoA = chloramphenicol 3-acetate + CoA Rhea RHEA:18421 ChEBI CHEBI:16730 ChEBI CHEBI:17698 ChEBI CHEBI:57287 ChEBI CHEBI:57288 2.3.1.28 ECO:0000255 PROSITE-ProRule PRU10021 || SUBUNIT | Homotrimer || SIMILARITY | Belongs to the chloramphenicol acetyltransferase family,cat,,,,cat,False,False,,141,P00485,False,False,
142,0.995943606,Q3K5S2,Glycerol-3-phosphate acyltransferase,Pseudomonas fluorescens (strain Pf0-1),False,False,False,False,,5,0,0,1,0,空间Ser-His-Asp/Glu样口袋；多跨膜(5),,structural_exclude_multipass_membrane,,,,,,,,,,排除,明显结构排除,结构含5段跨膜螺旋，缺少适合AcCoA和pAP共同进入的可溶性反应口袋。,structure_docking/09_corrected_screen\structures\rank_0142_Q3K5S2_AFDB.pdb,,"FUNCTION | Catalyzes the transfer of an acyl group from acyl-phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP || CATALYTIC ACTIVITY | an acyl phosphate + sn-glycerol 3-phosphate = a 1-acyl-sn-glycero-3-phosphate + phosphate Rhea RHEA:34075 ChEBI CHEBI:43474 ChEBI CHEBI:57597 ChEBI CHEBI:57970 ChEBI CHEBI:59918 2.3.1.275 ECO:0000255 HAMAP-Rule MF_01043 || PATHWAY | Lipid metabolism; phospholipid metabolism || SUBUNIT | Probably interacts with PlsX || SUBCELLULAR LOCATION | Cell inner membrane Multi-pass membrane protein || SIMILARITY | Belongs to the PlsY family",plsY,,Pfl01_5145,,plsy,False,False,,135,A5IYF1,True,True,同基因plsY仅保留最高位Rank 135
143,0.995929301,Q7N3D3,Lipid A acyltransferase PagP 2.3.1.251,Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01),False,False,False,False,,0,0,0,3,0,空间Ser-His-Asp/Glu样口袋；有注释催化/结合位点,ser_triad,completed,9.478,46.85,-5.6,主搜索,2.819,-3.8,3.503,72.86,-2.4,C,结构可行备选,至少存在局部双配体构象，但催化中心可信度、AcCoA反应端位置或取向弱于最终10个。,structure_docking/09_corrected_screen\structures\rank_0143_Q7N3D3_AFDB.pdb,structure_docking/09_corrected_screen\docking\rank_0143_Q7N3D3,"FUNCTION | Transfers a fatty acid residue from the sn-1 position of a phospholipid to the N-linked hydroxyfatty acid chain on the proximal unit of lipid A or its precursors || CATALYTIC ACTIVITY | a lipid A + a 1,2-diacyl-sn-glycero-3-phosphocholine = a hepta-acyl lipid A + a 2-acyl-sn-glycero-3-phosphocholine Rhea RHEA:74275 ChEBI CHEBI:57643 ChEBI CHEBI:57875 ChEBI CHEBI:193141 ChEBI CHEBI:193142 2.3.1.251 ECO:0000255 HAMAP-Rule MF_00837 || CATALYTIC ACTIVITY | a lipid IVA + a 1,2-diacyl-sn-glycero-3-phosphocholine = a lipid IVB + a 2-acyl-sn-glycero-3-phosphocholine Rhea RHEA:74279 ChEBI CHEBI:57643 ChEBI CHEBI:57875 ChEBI CHEBI:176425 ChEBI CHEBI:193143 2.3.1.251 ECO:0000255 HAMAP-Rule MF_00837 || CATALYTIC ACTIVITY | a lipid IIA + a 1,2-diacyl-sn-glycero-3-phosphocholine = a lipid IIB + a 2-acyl-sn-glycero-3-phosphocholine Rhea RHEA:74283 ChEBI CHEBI:57643 ChEBI CHEBI:57875 ChEBI CHEBI:193144 ChEBI CHEBI:193145 2.3.1.251 ECO:0000255 HAMAP-Rule MF_00837 || SUBUNIT | Homodimer || SUBCELLULAR LOCATION | Cell outer membrane || SIMILARITY | Belongs to the lipid A palmitoyltransferase family",pagP,,plu2784,,pagp,False,False,,143,Q7N3D3,False,False,
145,0.995925963,B9JUF7,Homoserine O-acetyltransferase HAT 2.3.1.31,Allorhizobium ampelinum (strain ATCC BAA-846 / DSM 112012 / S4),False,True,False,False,MetAA全部排除,,,,,0,,,,,,,,,,,,,排除,强制排除,MetAA全部排除,,,"FUNCTION | Transfers an acetyl group from acetyl-CoA to L-homoserine, forming acetyl-L-homoserine || CATALYTIC ACTIVITY | L-homoserine + acetyl-CoA = O-acetyl-L-homoserine + CoA Rhea RHEA:13701 ChEBI CHEBI:57287 ChEBI CHEBI:57288 ChEBI CHEBI:57476 ChEBI CHEBI:57716 2.3.1.31 ECO:0000255 HAMAP-Rule MF_00295 || PATHWAY | Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; O-acetyl-L-homoserine from L-homoserine: step 1/1 || SUBCELLULAR LOCATION | Cytoplasm || SIMILARITY | Belongs to the MetA family",metAA,,Avi_4253,,metaa,False,True,metaa,106,Q7CWE8,True,True,前100位实验10个已出现基因:metaa；同基因metAA仅保留最高位Rank 106
146,0.995911777,Q9NPG8,Palmitoyltransferase ZDHHC4 2.3.1.225,Homo sapiens,False,False,False,False,,5,0,1,0,0,空间Cys-His-Asp/Glu样口袋；有注释催化/结合位点；多跨膜(5),,structural_exclude_multipass_membrane,,,,,,,,,,排除,明显结构排除,结构含5段跨膜螺旋，缺少适合AcCoA和pAP共同进入的可溶性反应口袋。,structure_docking/09_corrected_screen\structures\rank_0146_Q9NPG8_AFDB.pdb,,"FUNCTION | Palmitoyltransferase that catalyzes the addition of palmitate onto protein substrates including the D(2) dopamine receptor DRD2, GSK3B or MAVS. Mediates GSK3B palmitoylation to prevent its AKT1-mediated phosphorylation leading to activation of the STAT3 signaling pathway (PubMed:35606353). Also catalyzes MAVS palmitoylation which promotes its stabilization and activation by inhibiting 'Lys-48'- but facilitating 'Lys-63'-linked ubiquitination (PubMed:38016475) || CATALYTIC ACTIVITY | L-cysteinyl-[protein] + hexadecanoyl-CoA = S-hexadecanoyl-L-cysteinyl-[protein] + CoA Rhea RHEA:36683 Rhea RHEA-COMP:10131 Rhea RHEA-COMP:11032 ChEBI CHEBI:29950 ChEBI CHEBI:57287 ChEBI CHEBI:57379 ChEBI CHEBI:74151 2.3.1.225 ECO:0000269 PubMed 35606353 ECO:0000269 PubMed 38016475 ECO:0000305 PubMed 26535572 | left-to-right Rhea RHEA:36684 ECO:0000305 PubMed 26535572 || SUBUNIT | Interacts with CPT1A || SUBCELLULAR LOCATION | Endoplasmic reticulum membrane Multi-pass membrane protein Golgi apparatus membrane Multi-pass membrane protein Cell membrane Multi-pass membrane protein || DOMAIN | The C-terminal di-lysine motif confers endoplasmic reticulum localization || DOMAIN | The DHHC domain is required for palmitoyltransferase activity || SIMILARITY | Belongs to the DHHC palmitoyltransferase family",ZDHHC4,ZNF374,,DC1; UNQ5787/PRO19576,zdhhc4,False,False,,146,Q9NPG8,False,False,
