rank,accession,ligand,status,best_affinity_kcal_mol,mode_count,center_x,center_y,center_z,size_x,size_y,size_z,receptor_pdbqt,config_file,output_pdbqt,log_file,diagnostic
110,O19898,4_aminophenol,reused,-4.6,9,-7.4319999999999995,1.9799999999999986,-0.1880000000000006,48.0,48.0,48.0,structure_docking/05_vina\rank_0110_O19898\rank_0110_O19898_receptor.pdbqt,structure_docking/05_vina\rank_0110_O19898\4_aminophenol.config.txt,structure_docking/05_vina\rank_0110_O19898\4_aminophenol.out.pdbqt,structure_docking/05_vina\rank_0110_O19898\4_aminophenol.vina.log.txt,
110,O19898,acetyl_CoA,reused,-7.9,9,-7.4319999999999995,1.9799999999999986,-0.1880000000000006,36.0,36.0,36.0,structure_docking/05_vina\rank_0110_O19898\rank_0110_O19898_receptor.pdbqt,structure_docking/05_vina\rank_0110_O19898\acetyl_CoA.config.txt,structure_docking/05_vina\rank_0110_O19898\acetyl_CoA.out.pdbqt,structure_docking/05_vina\rank_0110_O19898\acetyl_CoA.vina.log.txt,
111,Q7YRG5,4_aminophenol,reused,-5.2,9,4.246499999999999,3.8970000000000002,-0.3650000000000002,48.0,48.0,48.0,structure_docking/05_vina\rank_0111_Q7YRG5\rank_0111_Q7YRG5_receptor.pdbqt,structure_docking/05_vina\rank_0111_Q7YRG5\4_aminophenol.config.txt,structure_docking/05_vina\rank_0111_Q7YRG5\4_aminophenol.out.pdbqt,structure_docking/05_vina\rank_0111_Q7YRG5\4_aminophenol.vina.log.txt,
111,Q7YRG5,acetyl_CoA,reused,-6.9,9,4.246499999999999,3.8970000000000002,-0.3650000000000002,36.0,36.0,36.0,structure_docking/05_vina\rank_0111_Q7YRG5\rank_0111_Q7YRG5_receptor.pdbqt,structure_docking/05_vina\rank_0111_Q7YRG5\acetyl_CoA.config.txt,structure_docking/05_vina\rank_0111_Q7YRG5\acetyl_CoA.out.pdbqt,structure_docking/05_vina\rank_0111_Q7YRG5\acetyl_CoA.vina.log.txt,
112,A8GKF8,4_aminophenol,reused,-5.0,9,-1.8309999999999995,1.9819999999999993,4.524000000000001,48.0,48.0,48.0,structure_docking/05_vina\rank_0112_A8GKF8\rank_0112_A8GKF8_receptor.pdbqt,structure_docking/05_vina\rank_0112_A8GKF8\4_aminophenol.config.txt,structure_docking/05_vina\rank_0112_A8GKF8\4_aminophenol.out.pdbqt,structure_docking/05_vina\rank_0112_A8GKF8\4_aminophenol.vina.log.txt,
112,A8GKF8,acetyl_CoA,reused,-5.3,9,-1.8309999999999995,1.9819999999999993,4.524000000000001,36.0,36.0,36.0,structure_docking/05_vina\rank_0112_A8GKF8\rank_0112_A8GKF8_receptor.pdbqt,structure_docking/05_vina\rank_0112_A8GKF8\acetyl_CoA.config.txt,structure_docking/05_vina\rank_0112_A8GKF8\acetyl_CoA.out.pdbqt,structure_docking/05_vina\rank_0112_A8GKF8\acetyl_CoA.vina.log.txt,
125,A6L1Z3,4_aminophenol,finished,-4.5,9,-2.577,-1.0975000000000001,-0.24600000000000044,48.0,48.0,48.0,structure_docking/05_vina\rank_0125_A6L1Z3\rank_0125_A6L1Z3_receptor.pdbqt,structure_docking/05_vina\rank_0125_A6L1Z3\4_aminophenol.config.txt,structure_docking/05_vina\rank_0125_A6L1Z3\4_aminophenol.out.pdbqt,structure_docking/05_vina\rank_0125_A6L1Z3\4_aminophenol.vina.log.txt,
125,A6L1Z3,acetyl_CoA,finished,-5.3,9,-2.577,-1.0975000000000001,-0.24600000000000044,36.0,36.0,36.0,structure_docking/05_vina\rank_0125_A6L1Z3\rank_0125_A6L1Z3_receptor.pdbqt,structure_docking/05_vina\rank_0125_A6L1Z3\acetyl_CoA.config.txt,structure_docking/05_vina\rank_0125_A6L1Z3\acetyl_CoA.out.pdbqt,structure_docking/05_vina\rank_0125_A6L1Z3\acetyl_CoA.vina.log.txt,
126,O86309,4_aminophenol,finished,-5.1,9,4.218500000000001,4.459000000000001,2.1144999999999996,48.0,48.0,48.0,structure_docking/05_vina\rank_0126_O86309\rank_0126_O86309_receptor.pdbqt,structure_docking/05_vina\rank_0126_O86309\4_aminophenol.config.txt,structure_docking/05_vina\rank_0126_O86309\4_aminophenol.out.pdbqt,structure_docking/05_vina\rank_0126_O86309\4_aminophenol.vina.log.txt,
126,O86309,acetyl_CoA,finished,-6.6,9,4.218500000000001,4.459000000000001,2.1144999999999996,36.0,36.0,36.0,structure_docking/05_vina\rank_0126_O86309\rank_0126_O86309_receptor.pdbqt,structure_docking/05_vina\rank_0126_O86309\acetyl_CoA.config.txt,structure_docking/05_vina\rank_0126_O86309\acetyl_CoA.out.pdbqt,structure_docking/05_vina\rank_0126_O86309\acetyl_CoA.vina.log.txt,
